Soil_Moisture,Nutrient_Level,Crop_Health,Temperature,Humidity,Precipitation,Yield_Percentage,Future_Temperature,Future_Humidity,Future_Precipitation
42,127,6,27,63,7,89,22,67,6
70,182,6,31,66,5,75,21,76,3
53,130,8,27,64,7,89,27,69,6
80,170,3,30,75,2,75,19,76,3
80,179,4,31,75,2,76,24,76,3
38,128,7,25,65,6,90,27,66,6
76,166,7,32,75,3,86,22,76,6
62,190,4,31,73,2,86,22,68,6
50,120,9,25,61,8,89,27,67,6
74,122,7,33,73,5,86,22,72,6
71,174,7,25,63,3,88,28,66,6
39,122,7,26,68,7,88,28,66,7
36,120,7,25,65,7,87,27,66,7
47,120,8,25,66,7,89,27,64,7
72,145,7,27,65,6,87,27,68,7
42,135,8,25,65,6,89,28,67,6
71,182,3,31,75,2,77,20,76,3
50,122,7,28,65,7,87,25,66,8
74,124,7,30,75,6,81,20,76,7
42,138,6,27,62,7,91,28,68,7
36,134,8,27,63,8,90,26,65,8
43,120,7,26,64,7,91,27,65,6
74,176,7,30,74,6,88,21,76,3
74,200,5,31,75,4,83,21,76,4
73,128,6,26,62,7,88,22,74,7
79,166,7,31,74,4,88,21,76,3
46,127,8,25,62,7,89,26,66,6
56,120,6,26,63,7,86,27,66,6
42,127,7,26,65,7,89,27,65,7
80,174,4,33,73,3,75,21,76,3
73,183,6,30,75,3,76,20,73,3
68,174,3,32,75,3,80,22,73,7
56,122,6,25,66,6,88,22,68,6
35,124,8,25,64,7,91,28,68,7
47,123,6,28,66,7,89,24,67,6
80,173,5,32,75,4,77,23,76,3
51,120,8,25,66,6,87,26,66,7
50,120,9,25,66,7,92,26,66,7
65,131,7,33,66,8,88,26,69,8
78,177,6,25,73,6,87,23,68,7
72,169,8,31,74,3,89,24,68,7
44,120,7,25,62,7,89,27,66,7
68,145,8,31,67,7,87,23,65,5
80,176,5,33,75,2,76,21,76,3
80,178,3,31,73,2,76,21,76,3
46,131,8,25,65,7,88,28,65,7
78,166,6,27,67,4,88,21,69,6
47,144,7,26,66,7,87,28,68,6
80,185,3,32,75,2,75,20,76,3
47,120,8,25,62,8,89,27,65,6
49,131,7,25,66,7,92,25,68,6
43,121,7,25,61,7,88,27,66,8
80,185,3,32,73,3,89,21,76,4
47,120,8,25,64,7,89,26,65,7
73,171,6,27,69,4,88,21,75,3
47,120,8,25,64,6,92,28,69,7
73,188,7,25,75,3,77,23,76,4
45,127,8,25,62,7,89,27,65,7
50,125,8,27,64,6,90,25,68,8
46,124,8,25,65,6,86,28,67,7
80,189,3,31,71,4,78,21,76,3
76,167,7,31,65,7,90,24,74,7
76,163,7,32,75,4,78,21,75,3
78,192,3,33,72,4,81,22,76,4
43,120,7,26,65,6,87,27,66,8
55,127,7,27,65,6,88,27,66,7
80,192,4,32,75,4,75,20,76,3
45,128,7,25,65,6,87,28,66,7
80,180,3,32,75,4,79,23,76,3
44,125,8,25,66,7,88,27,66,7
49,120,6,25,61,7,90,28,64,7
47,123,8,25,65,7,92,27,66,6
80,169,3,31,74,2,75,21,76,3
61,176,6,31,68,3,75,23,75,6
68,120,7,26,64,7,88,27,65,7
46,120,8,26,64,8,89,26,67,6
73,182,7,32,75,6,80,23,76,3
67,183,3,31,73,6,78,22,76,6
67,181,3,30,75,3,76,21,76,3
42,142,7,27,64,8,86,27,67,7
47,137,7,26,67,7,89,23,65,6
80,159,4,31,75,2,75,21,76,3
50,120,7,25,64,7,85,28,67,7
56,131,8,26,63,6,89,28,68,8
40,120,8,25,65,7,90,27,66,6
49,120,7,25,62,6,88,25,68,7
80,180,8,31,75,3,76,21,76,4
80,183,4,30,75,3,75,21,76,3
80,173,4,33,75,2,76,20,76,3
79,122,8,25,68,6,89,20,67,6
75,183,3,29,75,4,79,22,76,4
48,120,8,25,66,6,92,28,65,7
40,120,8,32,65,6,88,28,67,6
50,123,7,25,64,7,89,27,68,8
80,182,6,32,75,5,75,19,76,5
46,123,7,25,63,8,89,26,66,7
49,120,8,26,64,8,88,26,68,7
56,164,7,26,74,4,87,26,73,7
80,191,3,31,75,2,75,22,75,3
55,134,7,32,68,6,89,22,66,7
75,191,3,30,75,3,76,21,76,3
44,120,7,25,66,6,88,25,65,7
49,127,8,27,65,7,86,28,66,6
48,121,8,25,65,6,91,27,66,7
46,120,7,25,64,8,87,28,65,7
52,120,8,27,66,6,89,28,66,6
80,182,4,34,71,2,80,22,76,3
65,166,7,30,74,4,85,21,75,4
75,173,3,32,72,4,90,21,68,6
50,120,7,28,67,6,86,27,68,7
78,189,3,32,75,2,79,22,76,3
66,120,8,25,67,7,86,22,66,7
79,168,3,31,75,2,78,20,76,3
57,121,8,25,63,6,92,26,66,7
45,120,6,26,61,5,85,28,69,6
57,123,9,27,61,7,88,24,75,6
80,151,3,33,75,2,75,20,76,3
60,139,7,26,64,5,87,22,75,7
79,187,6,33,72,4,76,22,76,4
80,175,5,34,75,2,75,20,76,3
80,175,5,32,71,3,77,21,76,3
58,131,8,26,67,6,92,26,68,6
74,175,7,27,74,7,86,23,76,3
62,127,7,25,66,6,85,26,72,3
54,121,7,26,62,8,86,27,69,6
80,175,4,34,75,2,76,20,76,3
80,192,4,32,75,2,79,21,76,3
60,180,6,32,64,6,86,27,75,7
70,187,7,31,74,4,86,28,74,7
71,122,6,31,75,6,90,21,74,5
50,120,6,25,64,7,87,28,66,7
75,173,7,30,72,3,87,22,75,3
51,121,8,25,62,6,89,26,69,8
77,191,3,32,73,2,76,22,76,3
54,133,7,27,63,7,85,28,67,7
51,125,8,25,65,7,90,25,67,6
51,120,7,26,65,7,89,26,68,7
36,133,8,27,68,7,89,27,66,4
75,170,7,31,75,3,76,21,76,4
46,120,7,27,63,5,89,25,67,6
54,120,6,25,66,7,88,28,65,8
41,120,7,25,64,7,90,28,64,6
78,157,8,30,70,3,87,23,76,3
53,120,7,27,65,7,88,28,66,6
52,132,7,27,67,8,88,27,69,6
54,120,8,25,63,7,90,28,67,7
43,120,8,25,66,7,89,28,67,7
54,120,8,25,66,7,90,28,65,8
47,126,7,25,66,7,89,27,67,7
50,120,8,25,63,6,91,26,67,6
74,120,8,27,63,6,88,22,76,4
52,121,7,25,64,6,89,26,67,6
79,167,7,31,70,4,84,23,70,7
40,120,7,31,64,6,90,26,68,7
80,161,3,32,75,2,75,22,76,3
47,124,7,27,66,7,89,25,68,8
39,130,6,26,71,6,89,28,76,7
79,190,7,26,68,6,89,21,74,8
78,184,8,32,71,3,77,24,74,3
51,120,6,25,65,6,86,25,66,8
45,120,7,25,64,7,90,25,65,7
80,165,6,32,72,3,90,20,76,4
75,175,4,30,72,4,76,19,76,3
40,122,9,25,62,7,87,28,66,7
80,170,3,30,75,3,79,20,76,3
36,150,6,25,63,6,89,27,66,6
74,120,7,25,68,4,85,22,70,3
48,120,7,26,65,6,87,28,65,6
46,138,7,26,61,7,89,27,68,8
68,120,7,25,73,7,80,20,74,7
66,179,8,33,69,3,77,22,76,6
48,169,6,27,66,3,88,20,76,3
80,174,7,30,73,4,81,21,75,7
73,169,4,30,73,4,77,20,76,4
40,131,8,26,64,7,89,28,69,8
52,120,8,25,64,6,90,27,65,7
80,168,4,29,72,3,78,23,76,3
80,181,3,32,74,3,80,21,76,3
80,173,6,32,72,5,88,21,76,3
49,120,8,25,61,7,92,28,66,7
80,164,4,29,75,2,75,24,76,3
49,126,7,26,63,6,87,27,64,7
45,123,7,25,64,7,87,27,66,6
80,170,4,31,73,4,75,20,76,3
77,185,3,30,75,2,79,21,76,3
80,162,3,32,75,3,76,21,76,3
80,166,4,31,75,2,75,21,76,3
49,126,8,25,64,6,85,28,65,8
66,120,7,32,71,6,85,21,76,7
52,120,7,25,63,6,90,28,66,8
40,127,6,27,64,7,89,28,66,6
51,131,7,25,64,7,89,28,65,6
52,120,7,25,61,8,89,27,66,6
62,120,7,31,66,7,89,26,65,7
48,120,7,26,68,6,87,26,64,7
51,120,7,26,64,7,87,28,66,7
80,189,3,31,75,3,80,20,76,3
52,131,8,26,63,6,88,28,67,6
80,173,4,30,75,2,75,21,76,3
70,131,8,27,61,7,87,21,67,8
49,120,3,25,64,6,88,25,67,6
80,185,3,32,75,3,75,21,76,3
39,120,8,25,65,7,88,28,63,6
68,195,4,32,73,2,77,21,76,3
63,140,7,27,61,6,87,28,70,6
73,187,3,31,73,3,75,21,76,3
80,194,3,31,74,2,75,19,76,3
49,120,7,27,62,6,85,27,67,6
80,180,4,31,72,2,77,21,76,3
80,177,4,32,75,2,75,21,76,3
72,136,7,26,65,7,85,24,67,6
46,126,7,26,65,7,86,28,69,8
71,129,8,25,66,7,91,25,65,8
46,135,5,31,72,7,84,28,68,7
78,164,4,30,73,2,75,23,76,3
38,126,8,25,65,5,86,28,67,6
64,185,4,32,75,6,81,24,74,4
42,126,8,28,66,7,88,25,68,7
48,120,8,25,62,8,86,28,68,8
66,124,7,27,66,3,90,25,74,6
70,120,7,26,74,6,84,26,67,6
80,176,3,31,75,3,77,20,76,3
70,173,8,27,67,2,89,27,68,6
47,136,7,26,63,6,90,28,69,6
74,167,3,30,74,2,75,20,76,4
37,132,7,28,64,7,87,28,65,6
49,120,8,27,62,7,87,28,67,8
55,120,7,25,63,6,91,26,67,7
55,141,7,27,64,7,90,26,66,7
71,191,7,31,73,5,86,20,76,3
70,128,7,32,67,3,87,26,73,5
48,124,7,26,65,6,87,27,65,6
80,186,8,31,74,3,85,22,75,3
80,187,4,33,75,3,75,22,76,3
50,120,7,25,62,8,91,28,67,7
80,183,3,33,75,2,75,22,76,3
49,120,8,27,67,6,86,27,65,7
80,172,3,30,75,3,75,21,76,3
56,120,8,25,63,7,90,26,67,6
80,166,3,32,75,2,75,21,76,3
77,183,7,32,72,3,77,21,76,3
49,137,7,26,64,6,89,26,66,6
52,120,9,25,61,6,88,27,66,6
44,120,7,25,61,6,87,26,64,8
70,131,8,31,67,6,88,27,67,8
37,131,8,26,63,7,89,26,65,7
46,128,7,25,67,7,88,27,67,8
80,192,3,31,75,2,77,20,76,3
72,179,3,30,75,4,75,21,75,3
50,120,8,25,63,6,86,28,65,7
80,170,3,31,74,2,90,26,76,4
72,120,8,27,64,7,86,22,66,8
80,165,4,29,73,2,75,20,75,4
76,120,7,28,69,6,88,27,66,7
43,120,7,25,62,6,89,27,67,7
40,125,7,26,63,7,88,28,66,6
70,192,5,31,74,3,76,21,75,4
55,138,7,26,63,7,87,28,66,6
75,179,3,32,75,3,75,22,76,3
74,163,5,29,73,3,75,21,76,3
46,133,8,26,61,7,92,27,69,6
80,163,4,33,75,2,77,22,75,3
80,169,3,31,73,2,81,22,74,3
72,182,3,30,75,2,75,23,76,3
76,167,6,31,73,5,90,23,76,6
80,192,3,32,75,3,76,22,76,4
41,128,8,27,67,8,90,21,67,7
55,120,8,25,63,7,91,28,65,6
50,123,7,28,64,6,88,27,69,7
44,136,8,26,64,7,89,26,67,7
80,131,7,25,65,6,88,27,67,6
80,173,4,31,75,2,88,22,76,3
73,167,7,32,74,4,76,21,76,4
80,181,3,33,75,2,75,21,76,3
52,180,6,29,73,4,86,24,67,6
80,192,3,31,75,2,78,21,76,3
49,133,7,26,63,6,91,26,67,6
47,123,6,25,61,7,88,28,66,6
47,125,7,27,61,7,87,27,67,6
78,176,5,33,75,3,78,21,74,3
76,166,3,34,75,2,75,21,76,3
75,188,6,30,74,6,87,21,75,5
78,172,7,30,71,3,79,23,76,3
48,123,8,25,63,8,89,27,66,7
77,194,3,32,72,3,76,21,76,3
42,122,8,26,62,7,86,28,65,8
